时刻,时段序号,购电量kWh,购电功率kW,电价元每kWh,小区负载kW,光伏实际功率kW,储电量期初kWh,储电量期末kWh,实际充电量kWh,实际放电量kWh,计划充电量kWh,计划放电量kWh
7:20-7:30,44,0.0,0.0,0.7972,4786.2179,2234.3678,4951.1939,4478.6291,0.0,425.3083,0.0,440.1714
7:30-7:40,45,267.6507,1605.9043,0.7644,4660.51,2492.5875,4478.6291,4374.5516,0.0,93.6697,0.0,124.372
7:40-7:50,46,306.3814,1838.2885,0.6899,4606.8822,2894.0726,4374.5516,4393.3735,20.9132,0.0,0.0,0.0
7:50-8:00,47,0.0,0.0,0.86,5489.8417,3343.4604,4393.3735,3995.8954,0.0,357.7302,0.0,353.5573
8:00-8:10,48,0.0,0.0,1.1617,6701.06,3753.1125,3995.8954,3449.9792,0.0,491.3246,0.0,479.8894
8:10-8:20,49,0.0,0.0,1.1683,6664.9869,4119.6249,3449.9792,2978.6159,0.0,424.227,0.0,445.7562
8:20-8:30,50,0.0,0.0,1.0956,6469.7028,4427.9049,2978.6159,2600.5052,0.0,340.2996,0.0,361.7197
8:30-8:40,51,0.0,0.0,1.0849,6635.97,4698.6375,2600.5052,2241.7399,0.0,322.8888,0.0,310.2671
8:40-8:50,52,0.0,0.0,1.061,6600.0815,4997.093,2241.7399,1944.8902,0.0,267.1648,0.0,259.1043
8:50-9:00,53,0.0,0.0,1.043,6462.4233,5400.3214,1944.8902,1748.2046,0.0,177.017,0.0,192.9897
9:00-9:10,54,0.0,0.0,1.036,6427.57,5807.85,1748.2046,1633.4417,0.0,103.2867,0.0,139.0918
9:10-9:20,55,0.0,0.0,1.0147,6551.7343,6020.5511,1633.4417,1535.0744,0.0,88.5305,0.0,133.8149
9:20-9:30,56,0.0,0.0,0.9922,6611.8297,6159.4673,1535.0744,1451.3036,0.0,75.3937,0.0,105.9108
9:30-9:40,57,0.0,0.0,0.97,6584.42,6306.2625,1451.3036,1399.793,0.0,46.3596,0.0,19.9097
9:40-9:50,58,0.0,0.0,0.9422,6627.8893,6423.4053,1399.793,1361.9256,0.0,34.0807,82.3997,0.0
9:50-10:00,59,0.0,0.0,0.9569,6567.1756,6483.305,1361.9256,1346.394,0.0,13.9784,108.3639,0.0
10:00-10:10,60,0.0,0.0,0.9977,6455.96,6487.7625,1346.394,1351.1643,5.3004,0.0,84.805,0.0
10:10-10:20,61,0.0,0.0,0.9919,6527.0912,6506.7574,1351.1643,1347.3988,0.0,3.389,128.8794,0.0
10:20-10:30,62,0.0,0.0,0.9588,6488.4499,6763.9313,1347.3988,1388.721,45.9136,0.0,193.8162,0.0
10:30-10:40,63,0.0,0.0,0.9549,6336.11,7139.7,1388.721,1509.2595,133.9317,0.0,207.0058,0.0
10:40-10:50,64,0.0,0.0,0.9839,6376.9432,7257.6775,1509.2595,1641.3697,146.7891,0.0,149.6245,0.0
10:50-11:00,65,0.0,0.0,0.799,6473.6947,7240.5731,1641.3697,1756.4014,127.8131,0.0,144.6292,0.0
11:00-11:10,66,0.0,0.0,0.5025,6470.56,7359.675,1756.4014,1889.7687,148.1858,0.0,190.7141,0.0
11:10-11:20,67,660.0703,3960.4218,0.4662,6357.1346,7784.7849,1889.7687,2639.7687,833.3333,0.0,833.3333,0.0
11:20-11:30,68,156.6493,939.896,0.5007,6310.6975,8209.6886,2639.7687,3065.6017,473.1478,0.0,315.5246,0.0
11:30-11:40,69,655.0416,3930.2495,0.4827,6431.52,8399.7375,3065.6017,3815.6017,833.3333,0.0,833.3333,0.0
11:40-11:50,70,646.0008,3876.005,0.4785,6604.0357,8379.679,3815.6017,4565.6017,833.3333,0.0,833.3333,0.0
11:50-12:00,71,656.9018,3941.4109,0.4662,6371.5522,8435.4109,4565.6017,5315.6017,833.3333,0.0,833.3333,0.0
12:00-12:10,72,627.7958,3766.775,0.4432,5893.69,8613.5625,5315.6017,6065.6017,833.3333,0.0,833.3333,0.0
12:10-12:20,73,504.9626,3029.7757,0.4411,5815.5593,8690.3915,6065.6017,6815.6017,833.3333,0.0,833.3333,0.0
12:20-12:30,74,487.831,2926.9859,0.4551,5929.8452,8581.2694,6815.6017,7565.6017,833.3333,0.0,833.3333,0.0
12:30-12:40,75,576.6591,3459.9545,0.4463,5958.43,8484.4875,7565.6017,8315.6017,833.3333,0.0,833.3333,0.0
12:40-12:50,76,577.1101,3462.6604,0.4113,5882.5546,8645.3297,8315.6017,9065.6017,833.3333,0.0,833.3333,0.0
12:50-13:00,77,0.0,0.0,0.5682,6091.5912,8546.664,9065.6017,9433.8627,409.1788,0.0,268.4157,0.0
13:00-13:10,78,0.0,0.0,0.8279,6408.53,8135.1375,9433.8627,9692.8538,287.7679,0.0,238.4541,0.0
13:10-13:20,79,0.0,0.0,0.8636,6253.4833,7884.9488,9692.8538,9937.5736,271.9109,0.0,204.2724,0.0
13:20-13:30,80,0.0,0.0,0.8416,6080.4251,7754.0988,9937.5736,10188.6247,278.9456,0.0,206.0652,0.0
13:30-13:40,81,0.0,0.0,0.8618,6115.63,7607.2875,10188.6247,10412.3733,248.6096,0.0,208.8747,0.0
13:40-13:50,82,0.0,0.0,0.8623,6161.9414,7394.5585,10412.3733,10597.2659,205.4362,0.0,141.5558,0.0
13:50-14:00,83,0.0,0.0,0.9026,6291.8498,7228.1769,10597.2659,10737.7149,156.0545,0.0,83.792,0.0
14:00-14:10,84,0.0,0.0,0.9754,6409.53,7094.9625,10737.7149,10800.0,69.2056,0.0,79.3249,0.0
14:10-14:20,85,0.0,0.0,1.0002,6298.6605,6838.0168,10800.0,10800.0,0.0,0.0,88.7299,0.0
14:20-14:30,86,0.0,0.0,0.9978,6212.8259,6393.4647,10800.0,10800.0,0.0,0.0,41.4195,0.0
14:30-14:40,87,0.0,0.0,1.0271,6236.6,5854.05,10800.0,10729.1574,0.0,63.7583,0.0,57.8077
14:40-14:50,88,0.0,0.0,1.0906,6217.1274,5393.4146,10729.1574,10576.618,0.0,137.2855,0.0,136.5419
14:50-15:00,89,0.0,0.0,0.9376,6206.2876,4990.8009,10576.618,10351.5279,0.0,202.5811,0.0,182.0402
15:00-15:10,90,212.8648,1277.1885,0.6694,6262.68,4761.6375,10351.5279,10310.0734,0.0,37.309,0.0,0.0
15:10-15:20,91,722.5777,4335.4665,0.66,6377.3851,4842.082,10310.0734,10730.0979,466.6939,0.0,464.6787,0.0
15:20-15:30,92,324.5887,1947.5324,0.7217,6461.0017,4734.2965,10730.0979,10763.222,36.8045,0.0,0.0,0.0
15:30-15:40,93,396.8563,2381.1375,0.7308,6382.45,4417.2375,10763.222,10800.0,40.8644,0.0,0.0,0.0
15:40-15:50,94,439.744,2638.4638,0.7534,6120.1976,4306.354,10800.0,10800.0,0.0,0.0,0.0,0.0
15:50-16:00,95,419.1649,2514.9896,0.7823,6153.6297,4035.9346,10800.0,10800.0,0.0,0.0,0.0,0.0
16:00-16:10,96,401.8831,2411.2988,0.8055,6505.17,3543.675,10800.0,10698.1118,0.0,91.6994,0.0,0.0
16:10-16:20,97,496.6252,2979.7514,0.8271,6704.9712,3168.3753,10698.1118,10594.9925,0.0,92.8074,0.0,-0.0
16:20-16:30,98,584.0205,3504.1229,0.8519,6651.3841,2836.5022,10594.9925,10537.4445,0.0,51.7932,0.0,-0.0
16:30-16:40,99,618.387,3710.322,0.8791,6512.95,2503.5375,10537.4445,10482.0574,0.0,49.8484,0.0,-0.0
16:40-16:50,100,671.9023,4031.4138,0.9024,6516.7553,2218.6701,10482.0574,10432.6738,0.0,44.4452,0.0,-0.0
16:50-17:00,101,759.2503,4555.5017,0.9163,6452.5286,1863.5925,10432.6738,10426.4822,0.0,5.5724,0.0,-0.0
17:00-17:10,102,841.4446,5048.6678,0.9264,6349.71,1465.3875,10426.4822,10451.134,27.3909,0.0,0.0,-0.0
17:10-17:20,103,870.3586,5222.1517,0.9462,6441.2731,1178.7512,10451.134,10443.658,0.0,6.7284,0.0,-0.0
17:20-17:30,104,910.132,5460.7919,0.9742,6397.9351,917.9154,10443.658,10440.0973,0.0,3.2046,-0.0,0.0
17:30-17:40,105,995.05,5970.3,0.9862,6368.49,630.1875,10440.0973,10474.897,38.6663,0.0,0.0,0.0
17:40-17:50,106,1074.0883,6444.5297,0.976,6667.634,356.458,10474.897,10494.9,22.2256,0.0,0.0,0.0
17:50-18:00,107,998.735,5992.4099,1.0742,5886.4358,131.4439,10494.9,10530.5127,39.5697,0.0,0.0,0.0
18:00-18:10,108,833.4051,5000.4307,1.2313,4515.87,0.0,10530.5127,10603.1968,80.7601,0.0,0.0,-0.0
18:10-18:20,109,801.775,4810.6502,1.2561,4585.9791,0.0,10603.1968,10636.8975,37.4452,0.0,0.0,-0.0
18:20-18:30,110,822.5168,4935.1008,1.2447,4985.787,4.4234,10636.8975,10628.3303,0.0,7.7105,0.0,0.0
18:30-18:40,111,841.1445,5046.867,1.2545,5006.5,0.0,10628.3303,10634.3854,6.7278,0.0,0.0,0.0
18:40-18:50,112,880.0979,5280.5875,1.2522,5016.9579,0.0,10634.3854,10673.9298,43.9383,0.0,0.0,0.0
18:50-19:00,113,855.724,5134.344,1.2881,4862.5058,0.3176,10673.9298,10714.7532,45.3593,0.0,0.0,0.0
19:00-19:10,114,0.0,0.0,1.3466,4664.56,0.0,10714.7532,9850.9458,0.0,777.4267,0.0,805.49
19:10-19:20,115,20.4761,122.8566,1.3523,4794.5933,0.0,9850.9458,8985.8093,0.0,778.6228,0.0,833.3333
19:20-19:30,116,50.3168,301.9011,1.3445,4953.598,0.0228,8985.8093,8124.3882,0.0,775.279,0.0,833.3333
19:30-19:40,117,24.5499,147.2995,1.3483,4906.9,0.0,8124.3882,7242.9807,0.0,793.2667,0.0,833.3333
19:40-19:50,118,22.739,136.434,1.349,4721.0181,0.0,7242.9807,6393.9836,0.0,764.0974,0.0,833.3333
19:50-20:00,119,24.7399,148.4395,1.3473,4705.315,0.0016,6393.9836,5550.1181,0.0,759.479,0.0,833.3333
20:00-20:10,120,9.9357,59.614,1.3482,4871.47,0.0,5550.1181,4659.0337,0.0,801.976,0.0,833.3333
20:10-20:20,121,0.0,0.0,1.3513,4963.0687,0.0,4659.0337,3739.9469,0.0,827.1781,0.0,821.9229
20:20-20:30,122,476.5873,2859.5238,1.34,5061.4062,0.0,3739.9469,3332.1909,0.0,366.9804,0.0,345.9205
20:30-20:40,123,15.8052,94.831,1.3489,5038.25,0.0,3332.1909,2416.7429,0.0,823.9032,0.0,833.3333
20:40-20:50,124,40.957,245.7423,1.3952,4709.3717,0.0,2416.7429,1590.1449,0.0,743.9382,0.0,833.3333
20:50-21:00,125,861.3111,5167.8666,1.2226,4809.9708,0.0,1590.1449,1643.8292,59.6493,0.0,0.0,-0.0
21:00-21:10,126,838.2395,5029.437,0.9332,5215.3,0.0,1643.8292,1609.4102,0.0,30.9772,-0.0,0.0
21:10-21:20,127,861.22,5167.3201,0.9068,5055.1463,0.0,1609.4102,1626.2362,18.6956,0.0,-0.0,0.0
21:20-21:30,128,839.1531,5034.9186,0.9371,4827.5711,0.0,1626.2362,1657.3384,34.5579,0.0,0.0,0.0
21:30-21:40,129,801.9025,4811.415,0.9371,4880.29,0.0,1657.3384,1644.5837,0.0,11.4792,0.0,0.0
21:40-21:50,130,858.915,5153.4901,0.9871,4979.2148,0.0,1644.5837,1670.725,29.0459,0.0,0.0,0.0
21:50-22:00,131,815.8375,4895.0249,0.7764,4609.119,0.0,1670.725,1713.6109,47.651,0.0,0.0,-0.0
22:00-22:10,132,1504.5686,9027.4115,0.4209,3835.46,0.0,1713.6109,2463.6109,833.3333,0.0,833.3333,0.0
22:10-22:20,133,1463.049,8778.2941,0.3859,3320.6494,0.0,2463.6109,3213.6109,833.3333,0.0,833.3333,0.0
22:20-22:30,134,1306.8795,7841.2768,0.4368,3496.0714,0.0,3213.6109,3865.3917,724.2009,0.0,666.6667,0.0
22:30-22:40,135,1477.2441,8863.4645,0.4198,3883.24,0.0,3865.3917,4612.4254,830.0374,0.0,833.3333,0.0
22:40-22:50,136,1476.5821,8859.4927,0.4186,3580.1991,0.0,4612.4254,5362.4254,833.3333,0.0,833.3333,0.0
22:50-23:00,137,1481.5665,8889.3993,0.4241,3332.1137,0.0,5362.4254,6112.4254,833.3333,0.0,833.3333,0.0
23:00-23:10,138,1483.3061,8899.8365,0.4237,3416.1,0.0,6112.4254,6862.4254,833.3333,0.0,833.3333,0.0
23:10-23:20,139,1467.9615,8807.7692,0.4248,3387.9352,0.0,6862.4254,7612.4254,833.3333,0.0,833.3333,0.0
23:20-23:30,140,1479.0981,8874.5883,0.424,3459.0094,0.0,7612.4254,8362.4254,833.3333,0.0,833.3333,0.0
23:30-23:40,141,1498.3736,8990.2415,0.422,3661.95,0.0,8362.4254,9112.4254,833.3333,0.0,833.3333,0.0
23:40-23:50,142,1469.1024,8814.6144,0.424,3702.4038,0.0,9112.4254,9862.4254,833.3333,0.0,833.3333,0.0
23:50-0:00+1,143,1480.9417,8885.6504,0.4271,3409.7885,0.0,9862.4254,10612.4254,833.3333,0.0,833.3333,0.0
0:00+1-0:10+1,144,1519.9126,9119.4755,0.4276,3147.61,0.0,10612.4254,10800.0,208.4162,0.0,833.3333,0.0
