日期,时间段,充电量kWh,放电量kWh,时刻,储电量kWh
2025-03-15,0:00-4:00,312.0275,661.6063,0:00,10700.0155
,4:00-8:00,82.9204,7027.041,24:00,10300.108
,8:00-12:00,7384.7595,0.0,,
,12:00-16:00,1823.5437,0.0,,
,16:00-20:00,0.0,5608.8684,,
,20:00-24:00,9873.312,2838.4172,,
2025-03-16,0:00-4:00,565.6577,8.2799,0:00,10300.108
,4:00-8:00,1025.3204,4220.0677,24:00,10800.0
,8:00-12:00,5474.6253,2856.6065,,
,12:00-16:00,2934.1895,564.9754,,
,16:00-20:00,1.4936,4495.3877,,
,20:00-24:00,9889.3713,3516.2129,,
2025-03-17,0:00-4:00,3.5817,2.9012,0:00,10800.0
,4:00-8:00,1572.3702,3362.5693,24:00,10800.0
,8:00-12:00,5194.5673,2118.6501,,
,12:00-16:00,48.1251,38.9813,,
,16:00-20:00,0.0,4463.4298,,
,20:00-24:00,10074.3403,3696.7858,,
2025-03-18,0:00-4:00,14.9993,12.1494,0:00,10800.0
,4:00-8:00,463.195,4168.4982,24:00,10800.0
,8:00-12:00,5517.9106,3843.1936,,
,12:00-16:00,4244.1683,270.78,,
,16:00-20:00,0.0,4673.3483,,
,20:00-24:00,10131.4281,3533.1085,,
2025-03-19,0:00-4:00,3.8422,3.1122,0:00,10800.0
,4:00-8:00,469.7809,4474.7711,24:00,10800.0
,8:00-12:00,5714.4978,3558.2037,,
,12:00-16:00,4103.1203,299.8184,,
,16:00-20:00,0.0,4469.1914,,
,20:00-24:00,9944.7739,3586.0755,,
2025-03-20,0:00-4:00,119.4939,96.7901,0:00,10800.0
,4:00-8:00,1317.6609,3157.2466,24:00,10800.0
,8:00-12:00,5604.5696,3265.5568,,
,12:00-16:00,1321.6289,254.7228,,
,16:00-20:00,16.6683,4501.1868,,
,20:00-24:00,10054.6548,3656.5848,,
2025-03-21,0:00-4:00,118.89,1153.8084,0:00,10800.0
,4:00-8:00,95.7711,6631.2404,24:00,10402.8468
,8:00-12:00,9396.5102,0.0,,
,12:00-16:00,0.0,0.0,,
,16:00-20:00,0.0,5503.1017,,
,20:00-24:00,9843.2797,2827.3928,,
2025-03-22,0:00-4:00,613.7864,995.0063,0:00,10402.8468
,4:00-8:00,109.1385,6518.9719,24:00,10800.0
,8:00-12:00,8994.8726,0.0,,
,12:00-16:00,0.0,0.0,,
,16:00-20:00,0.0,5353.0699,,
,20:00-24:00,9847.593,2623.4805,,
2025-03-23,0:00-4:00,26.6402,21.5786,0:00,10800.0
,4:00-8:00,814.5066,4120.7446,24:00,10475.8318
,8:00-12:00,5294.0981,3085.5639,,
,12:00-16:00,2792.8732,3.8886,,
,16:00-20:00,0.0,4874.5151,,
,20:00-24:00,10100.5088,3598.6485,,
2025-03-24,0:00-4:00,360.1869,0.0,0:00,10475.8318
,4:00-8:00,247.0004,5505.6898,24:00,10800.0
,8:00-12:00,6251.9457,2962.4303,,
,12:00-16:00,4434.035,387.5945,,
,16:00-20:00,0.0,4465.5049,,
,20:00-24:00,9899.6572,3553.2175,,
2025-03-25,0:00-4:00,72.0719,80.1588,0:00,10800.0
,4:00-8:00,988.9994,4034.505,24:00,10422.8483
,8:00-12:00,4940.0921,3418.1386,,
,12:00-16:00,3483.2498,149.5722,,
,16:00-20:00,0.0,4775.0517,,
,20:00-24:00,9978.6052,3647.0551,,
2025-03-26,0:00-4:00,451.7149,26.4526,0:00,10422.8483
,4:00-8:00,488.7909,3888.8035,24:00,10594.583
,8:00-12:00,6838.3841,2750.8511,,
,12:00-16:00,869.9294,0.0,,
,16:00-20:00,0.0,4717.5542,,
,20:00-24:00,10092.9857,3642.6395,,
2025-03-27,0:00-4:00,333.5019,85.2613,0:00,10594.583
,4:00-8:00,444.619,3885.2308,24:00,10772.7221
,8:00-12:00,5625.1484,2855.81,,
,12:00-16:00,2315.8793,51.3331,,
,16:00-20:00,0.0,4509.0968,,
,20:00-24:00,9995.9793,3612.1966,,
2025-03-28,0:00-4:00,328.1356,1411.6325,0:00,10772.7221
,4:00-8:00,107.358,6534.8445,24:00,10800.0
,8:00-12:00,9405.2806,0.0,,
,12:00-16:00,0.0,0.0,,
,16:00-20:00,0.0,5361.8509,,
,20:00-24:00,9967.0122,2711.429,,
2025-03-29,0:00-4:00,161.9543,1343.5498,0:00,10800.0
,4:00-8:00,159.4618,6349.3068,24:00,10549.1313
,8:00-12:00,9175.9377,0.0,,
,12:00-16:00,0.0,0.0,,
,16:00-20:00,0.0,5460.303,,
,20:00-24:00,9946.8456,2822.4238,,
2025-03-30,0:00-4:00,349.1671,81.706,0:00,10549.1313
,4:00-8:00,434.2522,3786.0331,24:00,10800.0
,8:00-12:00,5998.3476,2542.8472,,
,12:00-16:00,1688.2814,224.371,,
,16:00-20:00,31.0222,4511.4117,,
,20:00-24:00,9936.6069,3562.3679,,
2025-03-31,0:00-4:00,43.2223,35.0101,0:00,10800.0
,4:00-8:00,584.5955,4130.0956,24:00,10644.7231
,8:00-12:00,5773.1884,1697.6416,,
,12:00-16:00,1323.6303,394.2083,,
,16:00-20:00,0.0,4715.729,,
,20:00-24:00,10060.0529,3572.6631,,
2025-04-01,0:00-4:00,274.5562,82.6413,0:00,10644.7231
,4:00-8:00,1207.5631,3608.4572,24:00,10755.7317
,8:00-12:00,5517.9344,2036.4331,,
,12:00-16:00,477.1346,189.2417,,
,16:00-20:00,0.0,4546.7053,,
,20:00-24:00,10108.7438,3681.2187,,
2025-04-02,0:00-4:00,130.4237,65.8017,0:00,10755.7317
,4:00-8:00,195.985,4614.8838,24:00,10729.9689
,8:00-12:00,3355.6949,4045.4857,,
,12:00-16:00,6363.5792,0.0,,
,16:00-20:00,776.555,4528.658,,
,20:00-24:00,10094.9818,3711.3053,,
2025-04-03,0:00-4:00,117.8335,32.4171,0:00,10729.9689
,4:00-8:00,182.0936,4510.0318,24:00,10776.8072
,8:00-12:00,6465.6917,2811.689,,
,12:00-16:00,2506.024,92.8648,,
,16:00-20:00,0.0,4635.2782,,
,20:00-24:00,10151.9934,3608.7099,,
2025-04-04,0:00-4:00,209.5315,1352.8194,0:00,10776.8072
,4:00-8:00,194.9686,6245.1619,24:00,10781.0153
,8:00-12:00,9001.4934,0.0,,
,12:00-16:00,0.0,0.0,,
,16:00-20:00,0.0,5339.8036,,
,20:00-24:00,10051.9701,2819.3784,,
2025-04-05,0:00-4:00,271.1362,1595.6499,0:00,10781.0153
,4:00-8:00,220.0142,6172.3648,24:00,10646.0554
,8:00-12:00,9120.0853,0.0,,
,12:00-16:00,0.0,0.0,,
,16:00-20:00,0.0,5431.6607,,
,20:00-24:00,9964.7741,2778.3564,,
2025-04-06,0:00-4:00,194.9505,19.3598,0:00,10646.0554
,4:00-8:00,150.9149,4718.6129,24:00,10537.8288
,8:00-12:00,5716.5901,2241.5239,,
,12:00-16:00,2802.8834,62.8778,,
,16:00-20:00,0.0,4734.3309,,
,20:00-24:00,10058.8347,3649.2793,,
2025-04-07,0:00-4:00,335.0524,35.4383,0:00,10537.8288
,4:00-8:00,128.3986,5451.4015,24:00,10800.0
,8:00-12:00,7699.8338,1803.4436,,
,12:00-16:00,1275.3816,119.0823,,
,16:00-20:00,0.0,4601.3017,,
,20:00-24:00,10068.0029,3553.7807,,
2025-04-08,0:00-4:00,0.0,0.0,0:00,10800.0
,4:00-8:00,0.0,5388.2885,24:00,10800.0
,8:00-12:00,6070.385,2561.4178,,
,12:00-16:00,3744.5839,0.4184,,
,16:00-20:00,1.7531,4498.5278,,
,20:00-24:00,10074.1355,3662.942,,
2025-04-09,0:00-4:00,0.0,0.0,0:00,10800.0
,4:00-8:00,1070.0678,3604.5796,24:00,10800.0
,8:00-12:00,5675.4435,2421.605,,
,12:00-16:00,837.6835,666.1267,,
,16:00-20:00,726.9516,4497.8416,,
,20:00-24:00,10045.3026,3677.7609,,
2025-04-10,0:00-4:00,3.7051,3.0011,0:00,10800.0
,4:00-8:00,313.0237,4449.9893,24:00,10731.6618
,8:00-12:00,5162.3003,2442.257,,
,12:00-16:00,3116.2273,66.9104,,
,16:00-20:00,10.1042,4570.5682,,
,20:00-24:00,9997.9662,3597.4732,,
2025-04-11,0:00-4:00,304.652,1628.3924,0:00,10731.6618
,4:00-8:00,302.2128,6214.807,24:00,10623.565
,8:00-12:00,9152.0287,0.0,,
,12:00-16:00,0.0,0.0,,
,16:00-20:00,0.0,5575.2359,,
,20:00-24:00,9940.1054,2635.0409,,
2025-04-12,0:00-4:00,228.821,1869.7189,0:00,10623.565
,4:00-8:00,401.4953,5496.4793,24:00,10800.0
,8:00-12:00,8659.7943,0.0,,
,12:00-16:00,0.0,0.0,,
,16:00-20:00,0.0,5279.4101,,
,20:00-24:00,9972.4221,2798.2517,,
2025-04-13,0:00-4:00,38.4138,31.1152,0:00,10800.0
,4:00-8:00,287.7592,5166.582,24:00,10800.0
,8:00-12:00,4739.7465,2133.3918,,
,12:00-16:00,3984.8076,0.0,,
,16:00-20:00,15.4548,4468.9509,,
,20:00-24:00,9986.7802,3632.8594,,
2025-04-14,0:00-4:00,74.5319,60.3708,0:00,10800.0
,4:00-8:00,23.2738,5704.3633,24:00,10538.6424
,8:00-12:00,4813.3455,1877.9257,,
,12:00-16:00,4524.2313,0.0,,
,16:00-20:00,0.0,4819.5405,,
,20:00-24:00,10106.0547,3601.5857,,
2025-04-15,0:00-4:00,290.3974,0.0,0:00,10538.6424
,4:00-8:00,464.7337,4362.6743,24:00,10752.5605
,8:00-12:00,6439.4563,1229.7196,,
,12:00-16:00,49.3848,40.0017,,
,16:00-20:00,0.0,4650.284,,
,20:00-24:00,10135.802,3602.4111,,
2025-04-16,0:00-4:00,104.7258,42.1324,0:00,10752.5605
,4:00-8:00,289.603,4421.0841,24:00,10709.1287
,8:00-12:00,5505.4721,1941.9388,,
,12:00-16:00,2181.561,98.0523,,
,16:00-20:00,0.0,4619.9758,,
,20:00-24:00,9986.4966,3550.8706,,
2025-04-17,0:00-4:00,102.8262,1.505,0:00,10709.1287
,4:00-8:00,236.4592,4497.5641,24:00,10789.2025
,8:00-12:00,5870.3746,1826.818,,
,12:00-16:00,1795.3007,76.3468,,
,16:00-20:00,0.0,4621.4138,,
,20:00-24:00,10220.6175,3667.0041,,
2025-04-18,0:00-4:00,53.8847,2017.982,0:00,10789.2025
,4:00-8:00,450.1598,5723.9884,24:00,10800.0
,8:00-12:00,9065.9408,0.0,,
,12:00-16:00,0.0,0.0,,
,16:00-20:00,0.0,5358.0867,,
,20:00-24:00,9994.9759,2737.8437,,
2025-04-19,0:00-4:00,132.7717,2653.9398,0:00,10800.0
,4:00-8:00,139.8975,5582.6252,24:00,10800.0
,8:00-12:00,9895.9295,0.0,,
,12:00-16:00,0.0,0.0,,
,16:00-20:00,0.0,5303.4007,,
,20:00-24:00,9876.4555,2696.5282,,
2025-04-20,0:00-4:00,8.7281,7.0698,0:00,10800.0
,4:00-8:00,184.3185,4720.5335,24:00,10800.0
,8:00-12:00,6558.5279,2412.1339,,
,12:00-16:00,2065.3927,2.0063,,
,16:00-20:00,0.0,4550.7009,,
,20:00-24:00,9962.1487,3518.6395,,
2025-04-21,0:00-4:00,46.0358,37.289,0:00,10800.0
,4:00-8:00,152.7802,4835.9588,24:00,10728.6756
,8:00-12:00,5720.9258,1480.4157,,
,12:00-16:00,1924.2872,0.0,,
,16:00-20:00,0.0,4483.0234,,
,20:00-24:00,9983.8739,3668.1064,,
2025-04-22,0:00-4:00,143.193,96.1769,0:00,10728.6756
,4:00-8:00,164.2783,5316.4451,24:00,10800.0
,8:00-12:00,4035.7493,1475.8925,,
,12:00-16:00,4412.4842,139.4145,,
,16:00-20:00,1.3545,4500.3715,,
,20:00-24:00,9933.5954,3546.9379,,
2025-04-23,0:00-4:00,36.3157,29.4157,0:00,10800.0
,4:00-8:00,148.3495,4738.9024,24:00,10800.0
,8:00-12:00,7244.6816,1581.1371,,
,12:00-16:00,415.4628,4.8405,,
,16:00-20:00,5.0463,4464.8217,,
,20:00-24:00,9982.1901,3624.8398,,
2025-04-24,0:00-4:00,1.8357,1.4869,0:00,10800.0
,4:00-8:00,0.0,4878.8389,24:00,10800.0
,8:00-12:00,6504.0749,1421.0445,,
,12:00-16:00,1273.5589,0.0,,
,16:00-20:00,10.9478,4491.5264,,
,20:00-24:00,9964.5671,3588.6407,,
2025-04-25,0:00-4:00,228.7632,2226.7634,0:00,10800.0
,4:00-8:00,385.4253,5274.0418,24:00,10529.3414
,8:00-12:00,8646.0647,0.0,,
,12:00-16:00,0.0,0.0,,
,16:00-20:00,0.0,5366.8113,,
,20:00-24:00,9777.5537,2796.6,,
2025-04-26,0:00-4:00,427.0642,2446.417,0:00,10529.3414
,4:00-8:00,680.3199,5065.0902,24:00,10583.8182
,8:00-12:00,8466.8134,0.0,,
,12:00-16:00,0.0,0.0,,
,16:00-20:00,98.5892,5585.9957,,
,20:00-24:00,9961.6272,2757.3432,,
2025-04-27,0:00-4:00,293.8262,56.1316,0:00,10583.8182
,4:00-8:00,86.3008,4726.0231,24:00,10559.6479
,8:00-12:00,6370.6531,1837.5156,,
,12:00-16:00,1702.7194,33.1007,,
,16:00-20:00,0.0,4767.2112,,
,20:00-24:00,10058.4281,3596.4325,,
2025-04-28,0:00-4:00,391.5644,100.8502,0:00,10559.6479
,4:00-8:00,0.0,4717.4267,24:00,10251.5679
,8:00-12:00,1016.0655,2623.2571,,
,12:00-16:00,4581.068,275.1557,,
,16:00-20:00,588.9186,4593.6766,,
,20:00-24:00,10070.6361,1451.9901,,
2025-04-29,0:00-4:00,609.369,0.0,0:00,10251.5679
,4:00-8:00,0.0,4246.9383,24:00,10784.0074
,8:00-12:00,6509.7755,1025.9798,,
,12:00-16:00,12.5337,67.2201,,
,16:00-20:00,328.8227,4922.957,,
,20:00-24:00,10324.0449,3663.1912,,
2025-04-30,0:00-4:00,103.1503,69.1584,0:00,10784.0074
,4:00-8:00,0.0,4756.3485,24:00,10571.7438
,8:00-12:00,5009.9329,894.937,,
,12:00-16:00,1966.9629,0.0,,
,16:00-20:00,0.0,4689.932,,
,20:00-24:00,10053.9915,3659.2317,,
2025-05-01,0:00-4:00,280.4743,21.7536,0:00,10571.7438
,4:00-8:00,87.4899,5732.3413,24:00,9606.5476
,8:00-12:00,5034.5808,1798.1725,,
,12:00-16:00,4203.2159,186.4859,,
,16:00-20:00,85.0771,5386.4007,,
,20:00-24:00,9340.6085,3158.9941,,
2025-05-02,0:00-4:00,1117.4253,2448.7125,0:00,9606.5476
,4:00-8:00,221.1457,5733.4801,24:00,9282.4081
,8:00-12:00,10088.9596,0.0,,
,12:00-16:00,0.0,0.0,,
,16:00-20:00,0.0,7059.61,,
,20:00-24:00,8984.3,1583.5057,,
2025-05-03,0:00-4:00,1233.8424,2336.211,0:00,9282.4081
,4:00-8:00,250.8169,5295.2195,24:00,9292.6702
,8:00-12:00,9623.0732,0.0,,
,12:00-16:00,0.0,0.0,,
,16:00-20:00,54.9329,6178.9376,,
,20:00-24:00,9029.4783,2536.0323,,
