日期,日均价元每kWh,日负载MWh,日光伏MWh
2025-04-01,0.7731,117.9671,57.7583
2025-04-02,0.7723,117.9866,57.5513
2025-04-03,0.7645,117.8845,62.0209
2025-04-04,0.5595,71.7358,65.3049
2025-04-05,0.5755,72.6027,60.5586
2025-04-06,0.7557,117.2054,62.7954
2025-04-07,0.7517,117.0151,63.7724
2025-04-08,0.7519,117.7133,63.3601
2025-04-09,0.7663,117.6775,58.5432
2025-04-10,0.7580,117.6687,63.2081
2025-04-11,0.5515,72.0920,66.7753
2025-04-12,0.5639,71.9572,62.9320
2025-04-13,0.7563,117.2831,63.0067
2025-04-14,0.7466,117.9014,65.3733
2025-04-15,0.7385,117.0569,66.9175
2025-04-16,0.7624,117.9249,62.1453
2025-04-17,0.7478,117.4870,64.6187
2025-04-18,0.5594,71.4902,65.1361
2025-04-19,0.5580,71.9054,65.1207
2025-04-20,0.7454,117.1978,65.2401
2025-04-21,0.7340,118.4816,69.9647
2025-04-22,0.7510,117.8110,65.6581
2025-04-23,0.7479,118.0305,66.6306
2025-04-24,0.7362,117.4978,70.4077
2025-04-25,0.5407,71.7633,69.7630
2025-04-26,0.5378,72.1009,72.0307
2025-04-27,0.7338,117.0325,68.4591
2025-04-28,0.7661,117.5373,60.9153
2025-04-29,0.7304,117.2528,69.8195
2025-04-30,0.7294,117.6829,69.4260
2025-05-01,0.7473,120.3646,69.3532
2025-05-02,0.5870,74.7610,60.4707
2025-05-03,0.5698,74.8948,66.0277
2025-05-04,0.7461,120.6701,68.9354
2025-05-05,0.7605,120.6122,65.5362
2025-05-06,0.7532,121.0172,68.1471
2025-05-07,0.7587,121.1602,66.0924
2025-05-08,0.7617,120.4455,64.6190
2025-05-09,0.5667,74.2538,65.7544
2025-05-10,0.5753,74.6480,62.5269
2025-05-11,0.7608,120.7431,65.2590
2025-05-12,0.7518,120.4486,68.5174
2025-05-13,0.7564,120.2696,67.1404
2025-05-14,0.7476,120.5920,67.5779
2025-05-15,0.7528,119.5983,66.8333
2025-05-16,0.5454,74.6813,71.9658
2025-05-17,0.5734,75.2745,64.8257
2025-05-18,0.7507,120.6870,67.0109
2025-05-19,0.7318,120.0724,72.5572
2025-05-20,0.7566,120.4376,65.9102
2025-05-21,0.7458,120.2831,68.9204
2025-05-22,0.7462,119.7297,68.9130
2025-05-23,0.5570,74.9834,68.5624
2025-05-24,0.5532,74.6938,70.9393
2025-05-25,0.7380,120.3199,71.7749
2025-05-26,0.7525,119.4080,64.8281
2025-05-27,0.7429,120.0468,70.6565
2025-05-28,0.7513,119.9218,67.6480
2025-05-29,0.7595,120.4393,66.3292
2025-05-30,0.5610,74.6122,68.0160
2025-05-31,0.5664,74.7783,66.3892
2025-06-01,0.8192,128.2486,57.0237
2025-06-02,0.8099,128.0805,59.4397
2025-06-03,0.8063,128.0768,59.8845
2025-06-04,0.8137,128.5398,58.8946
2025-06-05,0.8221,128.4559,57.3066
2025-06-06,0.6493,82.7474,51.8924
2025-06-07,0.6503,83.1568,52.0302
2025-06-08,0.7971,128.2669,63.0820
2025-06-09,0.8193,128.1692,57.2365
2025-06-10,0.8168,127.4145,55.7960
2025-06-11,0.8317,128.2367,52.1522
2025-06-12,0.8220,127.7218,55.2694
2025-06-13,0.6400,81.8896,53.5443
2025-06-14,0.6369,82.2532,56.0598
2025-06-15,0.8178,127.3689,56.7419
2025-06-16,0.8232,127.6186,54.9246
2025-06-17,0.8286,127.3118,52.6747
2025-06-18,0.8200,126.9091,55.9807
2025-06-19,0.8079,127.3491,59.0896
2025-06-20,0.6213,81.1371,58.7365
2025-06-21,0.6095,81.4081,62.0733
2025-06-22,0.8075,126.5395,59.0821
2025-06-23,0.8049,126.6909,59.6296
2025-06-24,0.8405,127.1128,50.8441
2025-06-25,0.8163,126.3104,55.8730
2025-06-26,0.8060,126.6974,59.1501
2025-06-27,0.6051,79.5633,59.7916
2025-06-28,0.6230,80.6616,58.8846
2025-06-29,0.8118,126.3848,57.1170
2025-06-30,0.8102,125.9473,56.0696
2025-07-01,0.8908,141.5469,62.6803
2025-07-02,0.8753,141.1987,68.2939
2025-07-03,0.9014,141.5655,61.8051
2025-07-04,0.6903,95.7951,66.9142
2025-07-05,0.6843,95.8728,67.0828
2025-07-06,0.8987,141.2446,61.4506
2025-07-07,0.8774,141.4954,68.0859
2025-07-08,0.8836,141.2852,65.7138
2025-07-09,0.8792,140.5907,66.5320
2025-07-10,0.8775,140.4635,67.6099
2025-07-11,0.7069,94.7411,62.2223
2025-07-12,0.6943,95.3184,64.2341
2025-07-13,0.8543,139.8934,70.6256
2025-07-14,0.8722,141.0624,69.2547
2025-07-15,0.8721,139.5452,66.7961
2025-07-16,0.8758,140.3653,68.2307
2025-07-17,0.8748,139.5692,66.8487
2025-07-18,0.6942,93.6981,62.4238
2025-07-19,0.6803,94.5645,67.3817
2025-07-20,0.8676,138.7505,66.6606
2025-07-21,0.8792,138.4428,64.4531
2025-07-22,0.8751,139.5149,65.7197
2025-07-23,0.8756,139.4500,65.2335
2025-07-24,0.8774,138.9022,65.2857
2025-07-25,0.6770,92.3548,65.8495
2025-07-26,0.6880,93.1877,64.7186
2025-07-27,0.8771,138.1102,64.4250
2025-07-28,0.8862,138.2290,60.2741
2025-07-29,0.8846,138.3147,62.2455
2025-07-30,0.8797,138.4244,64.3211
2025-07-31,0.8814,137.4233,62.7283
2025-08-01,0.6664,92.7194,71.4681
2025-08-02,0.6622,91.5622,70.6352
2025-08-03,0.8334,138.0625,75.2230
2025-08-04,0.8448,138.3121,72.8965
2025-08-05,0.8446,136.4585,71.3062
2025-08-06,0.8577,136.7161,68.6017
2025-08-07,0.8411,136.8508,73.4628
2025-08-08,0.6380,90.7032,74.9280
2025-08-09,0.6530,90.3038,71.3819
2025-08-10,0.8487,136.5354,71.2308
2025-08-11,0.8396,136.4223,71.8610
2025-08-12,0.8574,136.6376,68.8771
2025-08-13,0.8532,136.5480,70.4270
2025-08-14,0.8501,135.9361,70.0098
2025-08-15,0.6512,89.9681,72.8083
2025-08-16,0.6473,90.1835,73.2542
2025-08-17,0.8399,135.3691,72.2037
2025-08-18,0.8476,135.7102,71.3161
2025-08-19,0.8429,135.3645,71.0468
2025-08-20,0.8663,135.0481,64.3974
2025-08-21,0.8472,134.9718,69.1274
2025-08-22,0.6605,90.5317,69.3012
2025-08-23,0.6592,89.6971,67.1671
2025-08-24,0.8410,135.0681,71.3345
2025-08-25,0.8602,134.5116,63.7385
2025-08-26,0.8444,134.3690,68.8401
2025-08-27,0.8534,133.7884,65.8742
2025-08-28,0.8635,134.5438,63.7760
2025-08-29,0.6645,88.3283,65.7731
2025-08-30,0.6547,89.0251,70.5124
2025-08-31,0.8465,133.3654,66.7187
2025-09-01,0.7517,121.2636,67.6895
2025-09-02,0.7540,121.5328,67.4751
2025-09-03,0.7610,121.4337,65.8860
2025-09-04,0.7570,121.0612,67.1356
2025-09-05,0.5586,75.1330,68.3087
2025-09-06,0.5657,75.8264,68.1053
2025-09-07,0.7593,120.7810,65.8200
2025-09-08,0.7735,121.4006,62.0050
2025-09-09,0.7519,121.0822,67.9794
2025-09-10,0.7818,121.2748,59.9588
2025-09-11,0.7531,120.7468,67.2507
2025-09-12,0.5751,75.6872,64.1356
2025-09-13,0.5665,75.0636,67.0565
2025-09-14,0.7759,121.2377,61.1384
2025-09-15,0.7617,120.7600,65.6930
2025-09-16,0.7779,121.8434,62.3516
2025-09-17,0.7781,120.9248,60.9647
2025-09-18,0.7698,120.8041,61.8481
2025-09-19,0.5933,75.2871,59.1858
2025-09-20,0.5875,75.3307,59.6853
2025-09-21,0.7738,120.8623,62.5748
2025-09-22,0.7822,121.2180,60.6040
2025-09-23,0.7818,121.1823,59.0657
2025-09-24,0.7761,121.0142,59.9510
2025-09-25,0.7776,120.5463,60.2109
2025-09-26,0.5928,74.1944,56.5001
2025-09-27,0.5997,75.9458,58.1445
2025-09-28,0.7894,120.3896,56.9020
2025-09-29,0.7878,121.1114,58.3515
2025-09-30,0.7938,120.9165,55.4943
2025-10-01,0.7382,117.2185,67.5569
2025-10-02,0.7420,117.2317,65.5009
2025-10-03,0.5580,71.5242,63.7070
2025-10-04,0.5858,72.3974,59.3014
2025-10-05,0.7526,117.6044,62.8685
2025-10-06,0.7685,117.8961,60.1630
2025-10-07,0.7658,117.3572,59.5856
2025-10-08,0.7607,117.3911,60.9126
2025-10-09,0.7578,117.4330,61.6730
2025-10-10,0.5595,72.3715,63.0279
2025-10-11,0.5846,71.7910,57.6847
2025-10-12,0.7663,117.7094,59.1944
2025-10-13,0.7647,117.6778,60.6504
2025-10-14,0.7731,118.0322,57.2584
2025-10-15,0.7761,117.3425,55.4225
2025-10-16,0.7822,117.7333,54.7668
2025-10-17,0.5888,71.9432,55.9390
2025-10-18,0.5831,71.6567,55.5801
2025-10-19,0.7894,117.9912,54.1055
2025-10-20,0.7871,117.9033,53.4625
2025-10-21,0.7953,117.8008,51.3383
2025-10-22,0.7930,117.6720,52.1171
2025-10-23,0.7813,117.2120,53.8325
2025-10-24,0.5964,72.1355,53.7155
2025-10-25,0.5985,72.0428,52.6444
2025-10-26,0.7873,117.4223,52.8780
2025-10-27,0.7829,117.7906,54.2380
2025-10-28,0.7931,117.5141,51.5417
2025-10-29,0.8070,117.7216,48.4094
2025-10-30,0.7920,116.9161,52.1283
2025-10-31,0.6177,71.7490,47.8447
2025-11-01,0.6046,71.9742,49.4302
2025-11-02,0.8022,117.8432,49.0469
2025-11-03,0.8055,117.8089,48.3040
2025-11-04,0.7976,117.3966,49.8165
2025-11-05,0.8090,117.7644,48.0864
2025-11-06,0.8151,117.7131,46.3435
2025-11-07,0.6155,72.2124,48.8939
2025-11-08,0.6173,72.0349,48.2437
2025-11-09,0.8103,117.8777,46.5309
2025-11-10,0.8190,118.4201,44.5617
2025-11-11,0.8139,117.9579,46.3988
2025-11-12,0.8124,117.4167,46.4607
2025-11-13,0.8185,117.7801,45.3842
2025-11-14,0.6291,71.7379,44.1394
2025-11-15,0.6288,72.4670,44.2551
2025-11-16,0.8206,118.3603,43.9257
2025-11-17,0.8159,117.2697,44.5740
2025-11-18,0.8219,117.7837,42.8931
2025-11-19,0.8290,118.1797,42.8114
2025-11-20,0.8212,117.8465,43.0534
2025-11-21,0.6326,71.9992,43.1348
2025-11-22,0.6367,72.5499,42.3301
2025-11-23,0.8265,117.7827,42.5506
2025-11-24,0.8211,117.9757,43.8137
2025-11-25,0.8241,117.6824,41.5137
2025-11-26,0.8299,117.6864,40.9288
2025-11-27,0.8286,117.1981,41.4172
2025-11-28,0.6340,72.2390,41.3178
2025-11-29,0.6504,72.1562,37.2267
2025-11-30,0.8396,118.0088,37.7640
2025-12-01,0.9076,125.2914,38.9925
2025-12-02,0.9153,125.4006,36.7628
2025-12-03,0.9120,124.6229,37.4602
2025-12-04,0.9051,125.3363,38.5650
2025-12-05,0.7172,78.8681,37.5564
2025-12-06,0.7272,79.4708,35.8062
2025-12-07,0.9101,125.0675,37.4148
2025-12-08,0.9085,124.4104,36.5631
2025-12-09,0.9058,124.6947,37.3062
2025-12-10,0.9162,124.3788,35.9911
2025-12-11,0.8976,123.7878,37.8265
2025-12-12,0.7238,78.6617,34.9473
2025-12-13,0.7297,78.8402,35.0416
2025-12-14,0.9207,124.5226,35.7439
2025-12-15,0.9144,124.3052,34.8357
2025-12-16,0.9109,124.6469,35.2289
2025-12-17,0.9088,124.4666,36.2747
2025-12-18,0.9095,124.3154,36.9491
2025-12-19,0.7251,78.5933,35.6849
2025-12-20,0.7190,78.6685,35.8122
2025-12-21,0.9101,124.3764,35.3387
2025-12-22,0.9193,124.7185,35.7810
2025-12-23,0.9127,123.9567,36.6986
2025-12-24,0.9083,123.9544,36.0998
2025-12-25,0.9103,123.7899,35.9774
2025-12-26,0.7238,78.2703,35.2627
2025-12-27,0.7212,78.4092,35.0704
2025-12-28,0.9059,123.5113,36.7020
2025-12-29,0.9065,123.6773,36.1535
2025-12-30,0.9005,123.5265,37.3021
2025-12-31,0.9102,123.7917,35.1453
