日期,开始时刻,结束时刻,时长min,紧急购电量kWh,平均功率kW
2025-07-04,20:20,22:00,100,2582.361,1549.4166
2025-07-05,5:10,7:40,150,2930.2375,1172.095
2025-07-05,20:10,22:00,110,2851.9381,1555.6026
2025-07-06,9:20,9:50,30,193.9138,387.8276
2025-07-06,10:00,10:20,20,195.7846,587.3539
2025-07-06,19:00,21:40,160,3889.9776,1458.7416
2025-07-06,21:50,22:00,10,10.7764,64.6583
2025-07-07,19:00,19:30,30,220.7414,441.4829
2025-07-07,19:40,20:20,40,398.9659,598.4489
2025-07-07,20:30,22:00,90,1202.0646,801.3764
2025-07-08,19:00,19:10,10,37.3003,223.8015
2025-07-08,20:40,20:50,10,8.3836,50.3016
2025-07-09,19:30,19:50,20,20.0506,60.1518
2025-07-10,19:30,19:40,10,4.7012,28.207
2025-07-13,19:20,19:30,10,31.3256,187.9536
2025-07-13,20:00,20:10,10,18.5456,111.2735
2025-07-16,20:10,20:20,10,9.178,55.068
2025-07-22,20:00,20:20,20,26.4545,79.3636
2025-07-27,9:20,9:40,20,72.7907,218.3722
2025-07-29,19:00,19:10,10,28.9638,173.783
2025-08-03,19:50,20:10,20,31.6698,95.0095
2025-08-04,19:00,19:10,10,20.684,124.104
2025-08-11,19:20,19:40,20,35.6009,106.8026
2025-08-12,19:20,19:40,20,54.8567,164.5702
2025-08-13,19:00,19:10,10,2.6248,15.7485
2025-08-13,19:20,19:40,20,43.7276,131.1827
2025-08-14,19:10,19:20,10,14.5147,87.0884
2025-08-14,20:40,20:50,10,27.447,164.6822
2025-08-17,19:20,19:50,30,28.7405,57.4809
2025-08-18,20:30,20:50,20,32.1036,96.3107
2025-08-19,19:30,19:40,10,8.2445,49.467
2025-08-19,20:10,20:20,10,10.1611,60.9666
2025-08-20,9:00,9:40,40,467.0944,700.6416
2025-08-20,19:50,20:20,30,60.642,121.284
2025-08-25,19:30,19:50,20,17.3816,52.1447
2025-08-25,20:40,20:50,10,383.066,2298.3961
2025-08-28,19:00,19:10,10,35.476,212.856
2025-08-28,20:00,20:10,10,5.6744,34.0465
2025-08-31,19:20,19:30,10,10.5025,63.015
2025-08-31,20:10,20:20,10,2.8087,16.852
2025-09-08,20:40,20:50,10,722.7081,4336.2485
2025-09-09,20:40,20:50,10,143.9177,863.5063
2025-09-10,9:10,9:50,40,296.376,444.564
2025-09-10,20:40,20:50,10,404.5609,2427.3655
2025-09-12,7:20,7:50,30,226.5476,453.0953
2025-09-15,19:50,20:00,10,1.1718,7.0306
2025-09-16,9:20,9:30,10,8.4398,50.6387
2025-09-16,19:20,19:30,10,1.9866,11.9196
2025-09-22,20:00,20:10,10,4.7037,28.2225
2025-09-25,19:00,19:10,10,1.0855,6.513
2025-09-28,8:40,10:00,80,1086.3093,814.732
2025-09-29,6:10,6:20,10,15.6254,93.7521
2025-09-29,20:40,20:50,10,5.6204,33.7223
2025-10-08,8:30,9:30,60,677.7358,677.7358
2025-10-08,20:40,20:50,10,399.981,2399.886
2025-10-10,21:30,21:40,10,12.2632,73.5792
2025-10-15,20:40,20:50,10,222.3283,1333.97
2025-10-16,20:20,20:50,30,1575.4935,3150.9871
2025-10-19,20:30,20:50,20,1128.3588,3385.0765
2025-10-20,9:10,10:20,70,967.2874,829.1034
2025-10-20,20:30,20:50,20,843.479,2530.4371
2025-10-21,20:40,21:00,20,269.7533,809.2599
2025-10-22,9:20,10:30,70,1061.6244,909.9638
2025-10-24,8:00,8:20,20,82.3734,247.1202
2025-10-24,21:10,21:30,20,6.6018,19.8055
2025-11-02,9:50,10:20,30,184.9835,369.967
2025-11-03,20:40,20:50,10,218.0121,1308.0726
2025-11-04,6:10,6:20,10,1.4374,8.6247
2025-11-06,9:20,10:50,90,1471.5694,981.0463
2025-11-12,6:30,6:40,10,3.4232,20.539
2025-11-15,8:10,8:40,30,203.9725,407.945
2025-11-19,6:00,6:10,10,1.385,8.31
2025-11-24,6:10,6:20,10,18.8397,113.038
2025-11-26,6:10,6:20,10,23.8524,143.1143
2025-11-29,20:40,21:00,20,748.1632,2244.4895
2025-11-30,20:40,20:50,10,369.6398,2217.8385
2025-12-01,6:00,6:20,20,101.4751,304.4252
2025-12-01,8:00,8:20,20,113.3654,340.0963
2025-12-01,9:10,11:00,110,3987.0688,2174.7648
2025-12-01,20:20,20:50,30,1666.6827,3333.3655
2025-12-02,6:10,6:20,10,77.1387,462.8324
2025-12-02,8:00,8:30,30,175.0341,350.0681
2025-12-02,9:20,11:00,100,3766.3002,2259.7801
2025-12-02,20:20,20:50,30,1891.0278,3782.0556
2025-12-03,8:00,8:20,20,112.1646,336.4937
2025-12-03,9:30,10:50,80,2508.366,1881.2745
2025-12-03,20:30,20:50,20,1159.651,3478.9529
2025-12-03,21:00,21:10,10,1.867,11.2018
2025-12-04,6:00,6:20,20,112.1327,336.3982
2025-12-04,8:00,8:30,30,199.6785,399.357
2025-12-04,9:10,11:00,110,4122.4553,2248.612
2025-12-04,20:40,21:00,20,220.2449,660.7348
2025-12-05,7:40,9:40,120,2631.9891,1315.9945
2025-12-05,19:50,21:00,70,2770.1029,2374.374
2025-12-06,8:00,10:00,120,1922.7863,961.3932
2025-12-06,20:00,21:00,60,2584.1298,2584.1298
2025-12-06,21:10,21:30,20,47.2681,141.8042
2025-12-07,8:00,8:20,20,102.9525,308.8575
2025-12-07,9:50,11:00,70,1836.0381,1573.7469
2025-12-17,8:10,8:30,20,6.905,20.7151
2025-12-21,8:00,8:10,10,5.6161,33.6965
2025-12-22,8:20,8:30,10,1.4407,8.644
