时刻,时段序号,购电量kWh,购电功率kW,电价元每kWh,小区负载kW,光伏实际功率kW,储电量期初kWh,储电量期末kWh,实际充电量kWh,实际放电量kWh,计划充电量kWh,计划放电量kWh
12:10-12:20,73,1000.2477,6001.4863,0.4411,6501.863,5904.8948,7455.0301,8205.0301,833.3333,0.0,833.3333,0.0
12:20-12:30,74,1016.3383,6098.0295,0.4551,6520.3344,5868.1645,8205.0301,8955.0301,833.3333,0.0,833.3333,0.0
12:30-12:40,75,1025.7765,6154.6588,0.4463,6273.31,5864.7,8955.0301,9705.0301,833.3333,0.0,833.3333,0.0
12:40-12:50,76,973.6362,5841.8171,0.4113,6234.7567,5722.7661,9705.0301,10455.0301,833.3333,0.0,833.3333,0.0
12:50-13:00,77,1010.5714,6063.4287,0.5682,6512.763,5549.8704,10455.0301,10800.0,383.2999,0.0,833.3333,0.0
13:00-13:10,78,286.041,1716.246,0.8279,6836.44,5390.4375,10800.0,10800.0,0.0,0.0,0.0,0.0
13:10-13:20,79,295.0472,1770.283,0.8636,6797.3346,5211.4597,10800.0,10800.0,0.0,0.0,0.0,0.0
13:20-13:30,80,289.8327,1738.9964,0.8416,6554.3856,5202.0686,10800.0,10800.0,0.0,0.0,0.0,0.0
13:30-13:40,81,315.672,1894.032,0.8618,6350.08,5287.95,10800.0,10800.0,0.0,0.0,0.0,0.0
13:40-13:50,82,325.8256,1954.9534,0.8623,6333.408,5178.3498,10800.0,10800.0,0.0,0.0,0.0,0.0
13:50-14:00,83,333.1348,1998.8087,0.9026,6515.4464,4993.7017,10800.0,10800.0,0.0,0.0,0.0,0.0
14:00-14:10,84,0.0,0.0,0.9754,6658.81,4847.5125,10800.0,10464.5745,0.0,301.8829,0.0,355.5772
14:10-14:20,85,0.0,0.0,1.0002,6474.7834,4705.4039,10464.5745,10136.9117,0.0,294.8966,0.0,400.0345
14:20-14:30,86,0.0,0.0,0.9978,6311.1097,4404.8152,10136.9117,9783.8942,0.0,317.7157,0.0,470.8093
14:30-14:40,87,0.0,0.0,1.0271,6293.57,3988.3875,9783.8942,9357.0085,0.0,384.1971,0.0,527.6591
14:40-14:50,88,0.0,0.0,1.0906,6241.0875,3658.7815,9357.0085,8878.8037,0.0,430.3843,0.0,522.109
14:50-15:00,89,0.0,0.0,0.9376,6267.633,3321.4365,8878.8037,8333.2118,0.0,491.0327,0.0,544.1512
15:00-15:10,90,1445.6321,8673.7925,0.6694,6308.83,2957.5875,8333.2118,9083.2118,833.3333,0.0,833.3333,0.0
15:10-15:20,91,1490.3715,8942.2292,0.66,6184.3165,2665.595,9083.2118,9833.2118,833.3333,0.0,833.3333,0.0
15:20-15:30,92,1516.9339,9101.6033,0.7217,6249.441,2404.6045,9833.2118,10583.2118,833.3333,0.0,833.3333,0.0
15:30-15:40,93,1562.4761,9374.8565,0.7308,6412.99,2166.8625,10583.2118,10800.0,240.8758,0.0,833.3333,0.0
15:40-15:50,94,1631.1053,9786.6316,0.7534,6229.2355,1977.0681,10800.0,10800.0,0.0,0.0,815.2349,0.0
15:50-16:00,95,862.1929,5173.1575,0.7823,6140.1248,1719.0539,10800.0,10800.0,0.0,0.0,-0.0,0.0
16:00-16:10,96,857.8885,5147.331,0.8055,6190.42,1414.8375,10800.0,10800.0,0.0,0.0,0.0,0.0
16:10-16:20,97,873.7684,5242.6106,0.8271,6007.344,1199.0528,10800.0,10800.0,0.0,0.0,0.0,0.0
16:20-16:30,98,915.377,5492.2622,0.8519,6021.8302,965.9713,10800.0,10800.0,0.0,0.0,0.0,0.0
16:30-16:40,99,980.0079,5880.0472,0.8791,6231.28,680.625,10800.0,10800.0,0.0,0.0,0.0,0.0
16:40-16:50,100,1058.1998,6349.1987,0.9024,6177.7882,419.0314,10800.0,10800.0,0.0,0.0,0.0,0.0
16:50-17:00,101,1081.3138,6487.8828,0.9163,6130.9976,173.8125,10800.0,10800.0,0.0,0.0,0.0,0.0
17:00-17:10,102,1065.6678,6394.0065,0.9264,6172.78,0.0,10800.0,10800.0,0.0,0.0,-0.0,0.0
17:10-17:20,103,1089.6872,6538.123,0.9462,6112.1742,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
17:20-17:30,104,1104.4453,6626.6718,0.9742,6160.7027,6.2009,10800.0,10800.0,0.0,0.0,0.0,0.0
17:30-17:40,105,1099.9747,6599.8485,0.9862,6338.77,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
17:40-17:50,106,1110.6723,6664.0341,0.976,6290.0948,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
17:50-18:00,107,965.1858,5791.1145,1.0742,5392.9058,0.4452,10800.0,10800.0,0.0,0.0,0.0,0.0
18:00-18:10,108,753.0828,4518.4965,1.2313,4275.8,0.0,10800.0,10800.0,0.0,0.0,0.0,-0.0
18:10-18:20,109,756.8662,4541.1971,1.2561,4292.4867,0.0,10800.0,10800.0,0.0,0.0,0.0,-0.0
18:20-18:30,110,781.9088,4691.4527,1.2447,4489.6396,0.032,10800.0,10800.0,0.0,0.0,0.0,0.0
18:30-18:40,111,735.357,4412.142,1.2545,4380.05,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
18:40-18:50,112,721.8732,4331.2393,1.2522,4406.0663,0.0,10800.0,10786.1431,0.0,12.4712,0.0,0.0
18:50-19:00,113,548.1406,3288.8436,1.2881,4500.5016,0.0023,10786.1431,10561.7625,0.0,201.9426,0.0,189.9348
19:00-19:10,114,0.0,0.0,1.3466,4490.76,0.0,10561.7625,9730.1402,0.0,748.46,0.0,758.0387
19:10-19:20,115,0.0,0.0,1.3523,4334.8994,0.0,9730.1402,8927.3811,0.0,722.4832,0.0,768.6507
19:20-19:30,116,0.0,0.0,1.3445,4356.9931,0.0,8927.3811,8120.5305,0.0,726.1655,0.0,779.2184
19:30-19:40,117,0.0,0.0,1.3483,4466.59,0.0,8120.5305,7293.3842,0.0,744.4317,0.0,780.5263
19:40-19:50,118,0.0,0.0,1.349,4301.5722,0.0,7293.3842,6496.7968,0.0,716.9287,0.0,755.8859
19:50-20:00,119,0.0,0.0,1.3473,4398.717,0.0,6496.7968,5682.2195,0.0,733.1195,0.0,752.632
20:00-20:10,120,0.0,0.0,1.3482,4681.61,0.0,5682.2195,4815.2547,0.0,780.2683,0.0,782.3252
20:10-20:20,121,0.0,0.0,1.3513,4485.5154,0.0,4815.2547,3984.6037,0.0,747.5859,0.0,804.7769
20:20-20:30,122,0.0,0.0,1.34,4156.9026,0.0,3984.6037,3214.807,0.0,692.8171,0.0,783.5496
20:30-20:40,123,0.0,0.0,1.3489,4090.51,0.0,3214.807,2457.3051,0.0,681.7517,0.0,742.3045
20:40-20:50,124,0.0,0.0,1.3952,4322.2266,0.0,2457.3051,1656.8928,0.0,720.3711,0.0,742.157
20:50-21:00,125,760.421,4562.5263,1.2226,4336.801,0.0,1656.8928,1690.7516,37.6209,0.0,0.0,-0.0
21:00-21:10,126,769.4925,4616.955,0.9332,4144.46,0.0,1690.7516,1761.6258,78.7492,0.0,0.0,0.0
21:10-21:20,127,764.1545,4584.9267,0.9068,4227.261,0.0,1761.6258,1815.2757,59.611,0.0,0.0,0.0
21:20-21:30,128,761.6428,4569.8566,0.9371,4326.9643,0.0,1815.2757,1851.7095,40.4821,0.0,0.0,0.0
21:30-21:40,129,775.7312,4654.3875,0.9371,4357.83,0.0,1851.7095,1896.1931,49.4262,0.0,0.0,0.0
21:40-21:50,130,790.9584,4745.7506,0.9871,4437.1142,0.0,1896.1931,1942.4886,51.4394,0.0,0.0,-0.0
21:50-22:00,131,717.2167,4303.3002,0.7764,4070.9954,0.0,1942.4886,1977.3343,38.7175,0.0,0.0,-0.0
22:00-22:10,132,1432.2131,8593.2785,0.4209,3434.4,0.0,1977.3343,2727.3343,833.3333,0.0,833.3333,0.0
22:10-22:20,133,1413.8979,8483.3873,0.3859,3270.5539,0.0,2727.3343,3477.3343,833.3333,0.0,833.3333,0.0
22:20-22:30,134,1264.98,7589.8798,0.4368,3305.0168,0.0,3477.3343,4120.0638,714.1438,0.0,666.6667,0.0
22:30-22:40,135,1427.5931,8565.5585,0.4198,3255.6,0.0,4120.0638,4870.0638,833.3333,0.0,833.3333,0.0
22:40-22:50,136,1409.1091,8454.6548,0.4186,3155.514,0.0,4870.0638,5620.0638,833.3333,0.0,833.3333,0.0
22:50-23:00,137,1403.7929,8422.7575,0.4241,3260.3635,0.0,5620.0638,6370.0638,833.3333,0.0,833.3333,0.0
23:00-23:10,138,1419.5746,8517.4475,0.4237,3508.97,0.0,6370.0638,7120.0638,833.3333,0.0,833.3333,0.0
23:10-23:20,139,1440.3905,8642.3428,0.4248,3554.7154,0.0,7120.0638,7870.0638,833.3333,0.0,833.3333,0.0
23:20-23:30,140,1450.6948,8704.169,0.424,3395.6628,0.0,7870.0638,8620.0638,833.3333,0.0,833.3333,0.0
23:30-23:40,141,1440.5466,8643.2795,0.422,3305.59,0.0,8620.0638,9370.0638,833.3333,0.0,833.3333,0.0
23:40-23:50,142,1418.2908,8509.7448,0.424,3539.7613,0.0,9370.0638,10115.5613,828.3306,0.0,833.3333,0.0
23:50-0:00+1,143,1440.144,8640.8643,0.4271,3571.991,0.0,10115.5613,10800.0,760.4875,0.0,833.3333,0.0
0:00+1-0:10+1,144,1473.4448,8840.669,0.4276,3464.4,0.0,10800.0,10800.0,0.0,0.0,833.3333,0.0
