时刻,时段序号,购电量kWh,购电功率kW,电价元每kWh,小区负载kW,光伏实际功率kW,储电量期初kWh,储电量期末kWh,实际充电量kWh,实际放电量kWh,计划充电量kWh,计划放电量kWh
14:50-15:00,89,0.0,0.0,0.9376,6190.1146,5431.9635,10657.373,10516.9747,0.0,126.3585,0.0,225.7786
15:00-15:10,90,1100.8865,6605.3188,0.6694,6156.64,5072.775,10516.9747,10800.0,314.4726,0.0,833.3333,0.0
15:10-15:20,91,1129.9791,6779.8747,0.66,6039.3659,4855.4545,10800.0,10800.0,0.0,0.0,833.3333,0.0
15:20-15:30,92,329.5635,1977.3811,0.7217,6054.6789,4561.8383,10800.0,10800.0,0.0,0.0,0.0,0.0
15:30-15:40,93,380.5795,2283.477,0.7308,6187.68,4146.825,10800.0,10800.0,0.0,0.0,0.0,0.0
15:40-15:50,94,445.6456,2673.8736,0.7534,6195.3721,3778.6785,10800.0,10800.0,0.0,0.0,0.0,0.0
15:50-16:00,95,475.1769,2851.0613,0.7823,6186.1376,3471.4229,10800.0,10800.0,0.0,0.0,0.0,0.0
16:00-16:10,96,493.8229,2962.9372,0.8055,6200.17,3156.225,10800.0,10784.9986,0.0,13.5013,0.0,0.0
16:10-16:20,97,575.8546,3455.1275,0.8271,6153.3743,2779.805,10784.9986,10797.2323,13.593,0.0,0.0,0.0
16:20-16:30,98,655.0988,3930.5927,0.8519,6101.7592,2507.3559,10797.2323,10800.0,3.0752,0.0,0.0,0.0
16:30-16:40,99,703.9524,4223.7142,0.8791,6118.95,2334.4125,10800.0,10800.0,0.0,0.0,0.0,-0.0
16:40-16:50,100,759.2417,4555.4504,0.9024,6209.4949,2077.0816,10800.0,10800.0,0.0,0.0,0.0,-0.0
16:50-17:00,101,817.7356,4906.4134,0.9163,6190.199,1733.8533,10800.0,10800.0,0.0,0.0,0.0,-0.0
17:00-17:10,102,881.5135,5289.081,0.9264,6102.19,1377.7125,10800.0,10800.0,0.0,0.0,-0.0,0.0
17:10-17:20,103,950.5697,5703.4184,0.9462,6143.2969,1083.9022,10800.0,10800.0,0.0,0.0,0.0,0.0
17:20-17:30,104,958.1636,5748.9817,0.9742,6075.0134,831.8823,10800.0,10800.0,0.0,0.0,0.0,0.0
17:30-17:40,105,961.4815,5768.889,0.9862,6025.68,597.3375,10800.0,10800.0,0.0,0.0,0.0,0.0
17:40-17:50,106,1060.2641,6361.5848,0.976,6213.4416,374.8971,10800.0,10800.0,0.0,0.0,0.0,0.0
17:50-18:00,107,979.3825,5876.2953,1.0742,5394.1467,156.1276,10800.0,10800.0,0.0,0.0,0.0,0.0
18:00-18:10,108,759.4335,4556.601,1.2313,4094.12,0.0,10800.0,10800.0,0.0,0.0,0.0,-0.0
18:10-18:20,109,732.2702,4393.6214,1.2561,4187.9837,0.0,10800.0,10800.0,0.0,0.0,0.0,-0.0
18:20-18:30,110,761.9698,4571.8185,1.2447,4441.4267,5.5774,10800.0,10800.0,0.0,0.0,0.0,0.0
18:30-18:40,111,754.1012,4524.6075,1.2545,4255.45,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
18:40-18:50,112,761.9956,4571.9733,1.2522,4286.5369,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
18:50-19:00,113,631.2347,3787.4084,1.2881,4470.2464,0.4004,10800.0,10673.6227,0.0,113.7396,0.0,127.9553
19:00-19:10,114,0.0,0.0,1.3466,4579.24,0.0,10673.6227,9825.6153,0.0,763.2067,0.0,750.561
19:10-19:20,115,0.0,0.0,1.3523,4480.3082,0.0,9825.6153,8995.9286,0.0,746.718,0.0,772.6329
19:20-19:30,116,0.0,0.0,1.3445,4285.5618,0.0288,8995.9286,8202.3113,0.0,714.2555,0.0,778.358
19:30-19:40,117,0.0,0.0,1.3483,4196.78,0.0,8202.3113,7425.1298,0.0,699.4633,0.0,775.418
19:40-19:50,118,0.0,0.0,1.349,4330.8684,0.0,7425.1298,6623.1172,0.0,721.8114,0.0,813.4588
19:50-20:00,119,0.0,0.0,1.3473,4370.9481,0.0021,6623.1172,5813.6827,0.0,728.491,0.0,810.3814
20:00-20:10,120,0.0,0.0,1.3482,4358.21,0.0,5813.6827,5006.6068,0.0,726.3683,0.0,770.9747
20:10-20:20,121,0.0,0.0,1.3513,4586.0191,0.0,5006.6068,4157.344,0.0,764.3365,0.0,780.4842
20:20-20:30,122,0.0,0.0,1.34,4523.6629,0.0,4157.344,3319.6287,0.0,753.9438,0.0,768.2067
20:30-20:40,123,0.0,0.0,1.3489,4215.37,0.0,3319.6287,2539.0046,0.0,702.5617,0.0,734.1898
20:40-20:50,124,0.0,0.0,1.3952,4256.2469,0.0,2539.0046,1750.8107,0.0,709.3745,0.0,757.3792
20:50-21:00,125,789.606,4737.6361,1.2226,4319.0159,0.0,1750.8107,1813.6038,69.77,0.0,0.0,-0.0
21:00-21:10,126,784.8523,4709.1135,0.9332,4257.25,0.0,1813.6038,1881.3833,75.3106,0.0,0.0,0.0
21:10-21:20,127,747.7863,4486.7178,0.9068,4290.2681,0.0,1881.3833,1910.8507,32.7416,0.0,0.0,0.0
21:20-21:30,128,741.9632,4451.7792,0.9371,4418.7036,0.0,1910.8507,1915.8121,5.5126,0.0,0.0,0.0
21:30-21:40,129,771.1515,4626.909,0.9371,4553.6,0.0,1915.8121,1926.8084,12.2182,0.0,0.0,0.0
21:40-21:50,130,768.3636,4610.1819,0.9871,4526.2528,0.0,1926.8084,1939.3978,13.9882,0.0,0.0,-0.0
21:50-22:00,131,684.8417,4109.0502,0.7764,4001.6252,0.0,1939.3978,1955.5115,17.9042,0.0,0.0,-0.0
22:00-22:10,132,1418.9901,8513.9405,0.4209,3318.94,0.0,1955.5115,2705.5115,833.3333,0.0,833.3333,0.0
22:10-22:20,133,1423.6084,8541.6505,0.3859,3233.4088,0.0,2705.5115,3455.5115,833.3333,0.0,833.3333,0.0
22:20-22:30,134,1273.1461,7638.8764,0.4368,3319.971,0.0,3455.5115,4103.3473,719.8176,0.0,666.6667,0.0
22:30-22:40,135,1425.1186,8550.7115,0.4198,3255.84,0.0,4103.3473,4853.3473,833.3333,0.0,833.3333,0.0
22:40-22:50,136,1423.9851,8543.9106,0.4186,3144.1326,0.0,4853.3473,5603.3473,833.3333,0.0,833.3333,0.0
22:50-23:00,137,1415.4395,8492.6367,0.4241,3161.8174,0.0,5603.3473,6353.3473,833.3333,0.0,833.3333,0.0
23:00-23:10,138,1410.5113,8463.068,0.4237,3296.4,0.0,6353.3473,7103.3473,833.3333,0.0,833.3333,0.0
23:10-23:20,139,1443.807,8662.8423,0.4248,3356.4081,0.0,7103.3473,7853.3473,833.3333,0.0,833.3333,0.0
23:20-23:30,140,1450.2817,8701.6903,0.424,3261.7676,0.0,7853.3473,8603.3473,833.3333,0.0,833.3333,0.0
23:30-23:40,141,1431.5656,8589.3935,0.422,3267.73,0.0,8603.3473,9353.3473,833.3333,0.0,833.3333,0.0
23:40-23:50,142,1440.5406,8643.2435,0.424,3604.076,0.0,9353.3473,10103.3473,833.3333,0.0,833.3333,0.0
23:50-0:00+1,143,1374.0969,8244.5816,0.4271,3245.8691,0.0,10103.3473,10800.0,774.0585,0.0,833.3333,0.0
0:00+1-0:10+1,144,1260.3876,7562.3255,0.4276,2401.0,0.0,10800.0,10800.0,0.0,0.0,833.3333,0.0
