时刻,时段序号,购电量kWh,购电功率kW,电价元每kWh,小区负载kW,光伏实际功率kW,储电量期初kWh,储电量期末kWh,实际充电量kWh,实际放电量kWh,计划充电量kWh,计划放电量kWh
6:30-6:40,39,0.0,0.0,0.8759,2764.02,1765.9125,2567.8142,2382.9794,0.0,166.3512,0.0,171.8579
6:40-6:50,40,0.0,0.0,0.8601,2606.6137,2022.3026,2382.9794,2274.7737,0.0,97.3852,0.0,139.7665
6:50-7:00,41,0.0,0.0,0.8442,2867.7649,2350.4923,2274.7737,2178.9824,0.0,86.2121,0.0,149.2658
7:00-7:10,42,0.0,0.0,0.8334,3304.27,2699.25,2178.9824,2066.9417,0.0,100.8367,0.0,169.5785
7:10-7:20,43,0.0,0.0,0.8092,3254.3169,2874.6231,2066.9417,1996.628,0.0,63.2823,0.0,146.6178
7:20-7:30,44,0.0,0.0,0.7972,3137.5948,3006.0287,1996.628,1972.2639,0.0,21.9277,0.0,102.7997
7:30-7:40,45,0.0,0.0,0.7644,3174.85,3224.8875,1972.2639,1979.7696,8.3396,0.0,0.0,62.5809
7:40-7:50,46,0.0,0.0,0.6899,3159.7263,3537.527,1979.7696,2036.4397,62.9668,0.0,0.0,25.831
7:50-8:00,47,0.0,0.0,0.86,3087.5763,3785.3986,2036.4397,2141.113,116.3037,0.0,-0.0,0.0
8:00-8:10,48,0.0,0.0,1.1617,3062.36,4003.425,2141.113,2282.2728,156.8442,0.0,-0.0,0.0
8:10-8:20,49,0.0,0.0,1.1683,3162.0197,4334.7324,2282.2728,2458.1797,195.4521,0.0,0.0,0.0
8:20-8:30,50,0.0,0.0,1.0956,3160.9922,4441.8035,2458.1797,2650.3014,213.4685,0.0,0.0,0.0
8:30-8:40,51,0.0,0.0,1.0849,3037.59,4358.7,2650.3014,2848.4679,220.185,0.0,0.0,0.0
8:40-8:50,52,0.0,0.0,1.061,3030.9974,4479.895,2848.4679,3065.8025,241.4829,0.0,0.0,0.0
8:50-9:00,53,0.0,0.0,1.043,3289.939,4668.5166,3065.8025,3272.5892,229.7629,0.0,-0.0,0.0
9:00-9:10,54,0.0,0.0,1.036,3650.62,4746.075,3272.5892,3436.9074,182.5758,0.0,-0.0,0.0
9:10-9:20,55,0.0,0.0,1.0147,3785.9011,4746.9534,3436.9074,3581.0652,160.1754,0.0,0.0,0.0
9:20-9:30,56,0.0,0.0,0.9922,3849.6183,5139.4381,3581.0652,3774.5382,214.97,0.0,-0.0,0.0
9:30-9:40,57,0.0,0.0,0.97,3824.6,5794.3125,3774.5382,4069.9951,328.2854,0.0,-0.0,0.0
9:40-9:50,58,0.0,0.0,0.9422,3582.3586,6109.068,4069.9951,4449.0015,421.1182,0.0,-0.0,0.0
9:50-10:00,59,0.0,0.0,0.9569,3687.9447,6385.1018,4449.0015,4853.5751,449.5262,0.0,260.7308,0.0
10:00-10:10,60,0.0,0.0,0.9977,4000.14,6643.5375,4853.5751,5250.0847,440.5663,0.0,347.249,0.0
10:10-10:20,61,0.0,0.0,0.9919,3826.1041,6589.8893,5250.0847,5664.6525,460.6309,0.0,359.8922,0.0
10:20-10:30,62,0.0,0.0,0.9588,3761.4976,6695.6004,5664.6525,6104.7679,489.0171,0.0,434.4559,0.0
10:30-10:40,63,0.0,0.0,0.9549,3901.91,7000.9875,6104.7679,6569.6295,516.5129,0.0,509.243,0.0
10:40-10:50,64,0.0,0.0,0.9839,3726.7535,7093.8409,6569.6295,7074.6926,561.1812,0.0,492.6578,0.0
10:50-11:00,65,0.0,0.0,0.799,3565.5609,7243.1188,7074.6926,7626.3263,612.9263,0.0,427.9526,0.0
11:00-11:10,66,0.0,0.0,0.5025,3679.21,7400.1,7626.3263,8184.4598,620.1483,0.0,366.3625,0.0
11:10-11:20,67,0.0,0.0,0.4662,3945.6166,7306.5816,8184.4598,8688.6046,560.1608,0.0,333.369,0.0
11:20-11:30,68,0.0,0.0,0.5007,3900.6403,7782.8954,8688.6046,9270.9428,647.0425,0.0,354.136,0.0
11:30-11:40,69,0.0,0.0,0.4827,3645.76,8490.225,9270.9428,9997.6126,807.4108,0.0,385.2039,0.0
11:40-11:50,70,0.0,0.0,0.4785,3705.1427,8180.7164,9997.6126,10668.9486,745.929,0.0,352.706,0.0
11:50-12:00,71,0.0,0.0,0.4662,3724.3133,7677.6706,10668.9486,10800.0,145.6126,0.0,331.7173,0.0
12:00-12:10,72,0.0,0.0,0.4432,3631.08,7665.1125,10800.0,10800.0,0.0,0.0,326.858,0.0
12:10-12:20,73,0.0,0.0,0.4411,3735.5415,8044.2631,10800.0,10800.0,0.0,0.0,279.3669,0.0
12:20-12:30,74,0.0,0.0,0.4551,3852.2352,8300.9755,10800.0,10800.0,0.0,0.0,304.0143,0.0
12:30-12:40,75,0.0,0.0,0.4463,3928.56,8383.0125,10800.0,10800.0,0.0,0.0,407.092,0.0
12:40-12:50,76,0.0,0.0,0.4113,4059.9044,8605.7877,10800.0,10800.0,0.0,0.0,467.5165,0.0
12:50-13:00,77,0.0,0.0,0.5682,3912.5928,8542.7209,10800.0,10800.0,0.0,0.0,467.1404,0.0
13:00-13:10,78,0.0,0.0,0.8279,3688.01,8049.6,10800.0,10800.0,0.0,0.0,420.2861,0.0
13:10-13:20,79,0.0,0.0,0.8636,3910.4683,7493.4162,10800.0,10800.0,0.0,0.0,354.4042,0.0
13:20-13:30,80,0.0,0.0,0.8416,3862.6154,7354.9231,10800.0,10800.0,0.0,0.0,325.9161,0.0
13:30-13:40,81,0.0,0.0,0.8618,3589.29,7340.8875,10800.0,10800.0,0.0,0.0,322.7936,0.0
13:40-13:50,82,0.0,0.0,0.8623,3849.2221,6714.7449,10800.0,10800.0,0.0,0.0,284.622,0.0
13:50-14:00,83,0.0,0.0,0.9026,3978.2382,6127.755,10800.0,10800.0,0.0,0.0,257.6278,0.0
14:00-14:10,84,0.0,0.0,0.9754,3861.85,5956.2,10800.0,10800.0,0.0,0.0,261.7965,0.0
14:10-14:20,85,0.0,0.0,1.0002,4047.8905,5941.7978,10800.0,10800.0,0.0,0.0,266.9682,0.0
14:20-14:30,86,0.0,0.0,0.9978,4095.2281,5827.294,10800.0,10800.0,0.0,0.0,257.6007,0.0
14:30-14:40,87,0.0,0.0,1.0271,4007.39,5738.1375,10800.0,10800.0,0.0,0.0,228.4704,0.0
14:40-14:50,88,0.0,0.0,1.0906,4227.0513,5964.2607,10800.0,10800.0,0.0,0.0,182.5876,0.0
14:50-15:00,89,0.0,0.0,0.9376,4182.4486,5979.2451,10800.0,10800.0,0.0,0.0,131.4687,0.0
15:00-15:10,90,0.0,0.0,0.6694,3879.68,5680.4625,10800.0,10800.0,0.0,0.0,85.6091,0.0
15:10-15:20,91,0.0,0.0,0.66,3916.2335,5457.1539,10800.0,10800.0,0.0,0.0,51.1169,0.0
15:20-15:30,92,0.0,0.0,0.7217,3924.3398,5153.0688,10800.0,10800.0,0.0,0.0,27.7348,0.0
15:30-15:40,93,12.1975,73.185,0.7308,3875.5,4811.1,10800.0,10800.0,0.0,0.0,0.0,-0.0
15:40-15:50,94,93.3911,560.3465,0.7534,4137.0155,4680.9532,10800.0,10800.0,0.0,0.0,0.0,-0.0
15:50-16:00,95,130.9482,785.6894,0.7823,4317.2602,4481.2341,10800.0,10800.0,0.0,0.0,0.0,-0.0
16:00-16:10,96,139.1066,834.6398,0.8055,4217.43,4055.4,10800.0,10800.0,0.0,0.0,0.0,-0.0
16:10-16:20,97,206.7151,1240.2905,0.8271,4034.2858,3562.8565,10800.0,10800.0,0.0,0.0,0.0,-0.0
16:20-16:30,98,222.2499,1333.4993,0.8519,3980.7146,3361.4888,10800.0,10800.0,0.0,0.0,0.0,-0.0
16:30-16:40,99,215.3786,1292.2717,0.8791,4042.02,3406.575,10800.0,10800.0,0.0,0.0,0.0,0.0
16:40-16:50,100,318.87,1913.2201,0.9024,3983.774,3291.2298,10800.0,10800.0,0.0,0.0,0.0,0.0
16:50-17:00,101,320.9257,1925.5541,0.9163,3621.8931,2964.175,10800.0,10800.0,0.0,0.0,0.0,0.0
17:00-17:10,102,234.0914,1404.5483,0.9264,3240.3,2623.6125,10800.0,10800.0,0.0,0.0,0.0,-0.0
17:10-17:20,103,290.4972,1742.983,0.9462,3335.0072,2479.2426,10800.0,10800.0,0.0,0.0,0.0,-0.0
17:20-17:30,104,357.1575,2142.945,0.9742,3462.6248,2185.8548,10800.0,10800.0,0.0,0.0,0.0,-0.0
17:30-17:40,105,364.7315,2188.389,0.9862,3484.27,1750.4625,10800.0,10800.0,0.0,0.0,0.0,0.0
17:40-17:50,106,384.3604,2306.1625,0.976,3649.2081,1528.3871,10800.0,10800.0,0.0,0.0,-0.0,0.0
17:50-18:00,107,416.1614,2496.9687,1.0742,3604.3529,1310.4274,10800.0,10800.0,0.0,0.0,0.0,0.0
18:00-18:10,108,451.7126,2710.2757,1.2313,3349.51,1034.1,10800.0,10800.0,0.0,0.0,0.0,-0.0
18:10-18:20,109,0.0,0.0,1.2561,3274.4828,860.3286,10800.0,10352.9344,0.0,402.359,0.0,490.9437
18:20-18:30,110,524.0572,3144.343,1.2447,3297.0032,677.2547,10352.9344,10431.6236,87.4324,0.0,0.0,0.0
18:30-18:40,111,192.555,1155.3299,1.2545,3342.79,452.7,10431.6236,10110.3717,0.0,289.1267,0.0,361.9448
18:40-18:50,112,593.6416,3561.8496,1.2522,3456.8314,276.0564,10110.3717,10167.5329,63.5124,0.0,0.0,0.0
18:50-19:00,113,0.0,0.0,1.2881,3634.5648,121.8367,10167.5329,9517.0277,0.0,585.4547,0.0,622.5654
19:00-19:10,114,0.0,0.0,1.3466,3852.72,7.7625,9517.0277,8804.9985,0.0,640.8262,0.0,642.0103
19:10-19:20,115,0.0,0.0,1.3523,4004.9442,0.0,8804.9985,8063.3422,0.0,667.4907,0.0,666.2212
19:20-19:30,116,0.0,0.0,1.3445,3706.7434,3.2619,8063.3422,7377.5123,0.0,617.2469,0.0,669.6824
19:30-19:40,117,0.0,0.0,1.3483,3293.48,0.0,7377.5123,6767.6086,0.0,548.9133,0.0,645.134
19:40-19:50,118,0.0,0.0,1.349,3492.5254,0.0,6767.6086,6120.8446,0.0,582.0876,0.0,624.6877
19:50-20:00,119,0.0,0.0,1.3473,3490.6667,0.2342,6120.8446,5474.4682,0.0,581.7387,0.0,607.397
20:00-20:10,120,0.0,0.0,1.3482,3189.62,0.0,5474.4682,4883.7979,0.0,531.6033,0.0,613.7145
20:10-20:20,121,0.0,0.0,1.3513,3348.2366,0.0,4883.7979,4263.754,0.0,558.0394,0.0,666.738
20:20-20:30,122,0.0,0.0,1.34,3725.2052,0.0168,4263.754,3573.9043,0.0,620.8647,0.0,680.9203
20:30-20:40,123,0.0,0.0,1.3489,3960.13,0.0,3573.9043,2840.5469,0.0,660.0217,0.0,659.855
20:40-20:50,124,0.0,0.0,1.3952,3881.8245,0.0,2840.5469,2121.6905,0.0,646.9707,0.0,688.1857
20:50-21:00,125,710.208,4261.2481,1.2226,3513.6729,0.0012,2121.6905,2233.827,124.5961,0.0,0.0,-0.0
21:00-21:10,126,685.7847,4114.7085,0.9332,3160.32,0.0,2233.827,2376.9853,159.0647,0.0,0.0,0.0
21:10-21:20,127,632.4517,3794.7101,0.9068,3214.7106,0.0,2376.9853,2463.9852,96.6666,0.0,-0.0,0.0
21:20-21:30,128,589.8886,3539.3317,0.9371,3489.1029,0.0,2463.9852,2471.5195,8.3715,0.0,0.0,0.0
21:30-21:40,129,584.9515,3509.709,0.9371,3713.49,0.0,2471.5195,2433.7823,0.0,33.9635,0.0,0.0
21:40-21:50,130,611.4291,3668.5745,0.9871,3715.4477,0.0,2433.7823,2425.1021,0.0,7.8122,0.0,0.0
21:50-22:00,131,605.6088,3633.6529,0.7764,3460.6768,0.0,2425.1021,2451.0485,28.8293,0.0,0.0,-0.0
22:00-22:10,132,1405.1353,8430.812,0.4209,3169.68,0.0,2451.0485,3201.0485,833.3333,0.0,833.3333,0.0
22:10-22:20,133,1404.0606,8424.3637,0.3859,3161.2424,0.0,3201.0485,3951.0485,833.3333,0.0,833.3333,0.0
22:20-22:30,134,1229.8464,7379.0784,0.4368,3268.4465,0.0,3951.0485,4567.6433,685.1053,0.0,666.6667,0.0
22:30-22:40,135,1391.6166,8349.6995,0.4198,3317.19,0.0,4567.6433,5317.6433,833.3333,0.0,833.3333,0.0
22:40-22:50,136,1441.102,8646.6121,0.4186,3281.0391,0.0,5317.6433,6067.6433,833.3333,0.0,833.3333,0.0
22:50-23:00,137,1472.7705,8836.6232,0.4241,3250.7574,0.0,6067.6433,6817.6433,833.3333,0.0,833.3333,0.0
23:00-23:10,138,1439.3986,8636.3915,0.4237,3190.39,0.0,6817.6433,7567.6433,833.3333,0.0,833.3333,0.0
23:10-23:20,139,1366.817,8200.9019,0.4248,2998.9363,0.0,7567.6433,8317.6433,833.3333,0.0,833.3333,0.0
23:20-23:30,140,1341.8116,8050.8694,0.424,2920.9743,0.0,8317.6433,9067.6433,833.3333,0.0,833.3333,0.0
23:30-23:40,141,1370.9228,8225.537,0.422,2989.3,0.0,9067.6433,9817.6433,833.3333,0.0,833.3333,0.0
23:40-23:50,142,1392.1548,8352.9288,0.424,3024.571,0.0,9817.6433,10567.6433,833.3333,0.0,833.3333,0.0
23:50-0:00+1,143,1445.4521,8672.7124,0.4271,3193.3141,0.0,10567.6433,10800.0,258.1741,0.0,833.3333,0.0
0:00+1-0:10+1,144,1520.9748,9125.849,0.4276,3636.14,0.0,10800.0,10800.0,0.0,0.0,833.3333,0.0
